RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024
1116,2544,Jasper County,county,IL,IL,,17,79,95542.98062,95667.31376,95722.42706,95568.45056,95365.83243,94822.47002,94147.6296,92864.48397,92119.76162,91648.37849,92696.79336,94529.71629,97007.43344,99709.44595,102111.9711,104498.7964,105949.9572,107371.6573,107617.6687,107911.125,108197.9611,109000.5703,109441.1896,110289.2083,111674.6723,114224.1889,115962.8571,116313.1111,116140.8989,117379.7921,120979.2137,124187.3271,126841.6989,127900.9053,129347.9027,130581.1509,131736.7468,131601.8069,131219.918,132107.4215,133193.6925,133636.8918,132385.3676,131975.0126,132807.7078,134413.7494,136588.0957,137884.3687,139335.892,139855.2089,139951.8397,139312.7144,137779.2836,136022.2297,133718.2658,132388.915,131170.5809,131623.9357,133775.8854,136211.4112,138593.0553,139842.1692,141856.8462,143255.9099,144972.7131,146205.1656,146902.5594,146874.7676,146173.9516,145445.5978,144326.8362,144216.4998
1818,2545,Johnson County,county,GA,GA,"Dublin, GA",13,167,74489.10435,74584.62987,74866.20265,74920.89218,75488.97007,76177.79728,77000.16702,76928.00247,76742.79884,76285.58546,76319.44694,76519.06107,77397.35822,78225.66153,79150.87598,80153.70457,81244.58835,82296.38912,82572.83501,82754.69656,82204.93989,82123.62594,81865.644,82871.49818,84311.75657,86090.66574,87046.76749,87334.37241,87305.58273,88027.7095,89870.41078,92234.00051,93741.96875,94132.85253,94117.99466,94525.90689,95420.67485,96642.15311,98074.2739,99435.68377,99447.15251,98533.23774,97112.54036,96898.36223,97870.61696,99334.8574,101697.092,103709.1529,104649.9455,104478.8728,103739.0467,104421.0453,105479.1816,106534.9269,106329.3707,105797.9882,105441.5207,105285.8963,105012.8956,105078.9418,105946.007,107246.2408,108269.1278,108854.775,109329.5005,109773.582,110674.8042,111526.756,112639.0295,112961.2683,112615.9454,111753.6263
690,2546,Pratt County,county,KS,KS,,20,151,75499.80169,75730.68274,75677.26889,75067.07876,74586.66786,74160.20946,74342.66244,74511.9895,75040.78423,75481.9407,75508.64036,75286.86248,75203.73064,75029.14236,74707.91812,74242.09672,74082.28796,74141.29121,74282.40026,74834.89729,75583.04451,76631.36038,77293.54112,78304.4636,79378.47754,80810.16111,81455.54565,81235.09719,80517.4867,79950.96041,80075.68297,80364.04619,80853.00269,81184.87112,81632.76755,82039.13282,82724.83911,83198.34011,84100.131,85020.2116,86356.28708,87508.80061,88654.94159,89816.07884,91228.57257,92470.17496,93563.61345,94170.38214,94877.19786,95694.24159,96855.62335,98438.23253,100243.3309,101487.0344,102483.1098,103108.0128,103887.5515,103855.7045,102934.5002,101897.5539,101193.6276,101145.9187,101184.6393,101581.3261,102432.0137,103714.9678,104954.913,105786.3596,105863.1689,105464.1664,104927.3391,104746.7002
3124,2547,Saint Clair County,county,MO,MO,,29,185,98475.49231,98764.49486,99232.79906,99368.86256,99505.09145,99425.144,99661.92204,99809.30529,100573.393,101169.1293,101802.894,102749.1249,104023.3857,105400.7772,106056.0286,106659.269,107078.0427,107495.6398,107477.0209,107600.9861,107869.2943,108832.6256,109609.2661,110357.9375,110827.1788,111313.8453,111815.8934,111812.2441,112536.053,113893.1469,116290.3648,118680.2463,121434.4305,123923.0519,126135.6372,127489.6834,128956.4229,131284.6082,134235.7866,137877.4083,140278.0916,142396.9907,143086.4816,144293.9077,146451.8461,150033.0749,155009.0238,159772.0231,164105.9634,167715.4827,170856.2769,174117.1195,175521.875,175607.6119,173670.6692,172163.7795,170726.5239,170083.5202,170030.1402,170778.4509,172715.2581,175032.7113,177248.7867,178617.955,179380.6708,179830.6972,180306.0537,179933.7084,178876.4121,177234.9998,175565.5219,175109.4402
1131,2548,Kemper County,county,MS,MS,"Meridian, MS",28,69,89915.75932,90781.47473,91144.21198,90764.29498,90153.236,89830.88662,89875.5418,89591.35175,89533.23376,89756.65188,90035.25747,89941.90169,89929.06859,90229.27217,90854.932,91333.46424,92202.55238,92555.6098,91976.28789,90917.16891,89810.28437,89670.801,89548.56299,89672.29631,90035.68307,90448.41342,90726.80021,90350.58564,90680.12105,92168.11611,94693.83783,96829.0157,98346.36214,99703.06767,100915.9826,102678.5834,104461.3708,106836.6373,109112.3532,111183.4031,112544.6079,113737.2922,114744.7774,116797.508,119268.8812,121371.6821,122637.5996,122693.4231,122618.9419,122448.2349,123066.9454,124800.414,126758.6997,128072.7647,127665.037,126203.1672,124038.2596,122524.7125,120790.9383,119452.2068,117611.3893,117296.0842,118002.0269,118995.434,119983.3467,120290.798,120685.7393,120661.4261,120708.042,121037.7699,120991.2309,121402.0807
3078,2549,White Pine County,county,NV,NV,,32,33,112848.675,113829.6881,113697.7768,112809.8585,113084.3065,114077.7546,115557.8045,116105.9892,116357.0593,116601.6284,116928.2089,117651.3633,118357.6377,119324.1911,120374.5099,121497.9567,122621.0486,123994.7295,125283.8852,126464.1263,127071.1278,127236.6487,128376.6297,130406.4831,132808.0442,134483.5349,135519.0079,136808.9636,138539.157,140862.6925,143758.7364,145301.2058,146481.0421,146427.8475,146626.4965,147428.3248,149205.0733,151810.5767,154614.4356,157821.2141,160789.9656,162996.4883,163828.5295,164370.2543,164695.224,164970.4388,165399.1997,165802.5723,166941.6291,168489.1449,170002.6245,171599.2288,172518.6362,172506.1792,172263.658,171880.4476,172155.7926,171110.5732,169701.1209,168733.6135,169125.6442,170335.2374,170633.64,170847.3829,170116.8871,169514.3918,168830.7174,169218.2709,170610.2268,171564.1634,171177.9365,170190.483
1016,2550,Forest County,county,WI,WI,,55,41,128666.3279,129668.4035,130821.1542,131166.5942,131893.1456,132585.3458,133837.138,134419.1011,135534.882,136041.5493,136269.39,135898.939,135921.6467,135960.3412,136339.6496,136772.0006,137513.826,138357.9868,139051.0237,140150.3356,141260.7106,142561.5297,142782.0691,142668.3936,142224.644,142443.3521,142812.4096,143289.8182,144406.7939,146486.9537,149862.033,152840.4872,154862.9476,155915.3475,156785.2652,157371.52,158079.3223,159198.2957,161546.5691,164472.0592,167044.7933,168432.0639,168653.4842,168959.8337,170273.5814,172371.8418,175784.9247,179459.2421,182339.7457,184852.7686,186331.1989,188701.0413,189430.8196,189419.4289,188020.4911,186512.2283,185443.3027,184399.7038,184810.5353,186106.7241,189093.4016,192000.964,194435.9857,195977.1419,196393.8683,196489.0781,195401.8437,193620.5134,191843.0687,190049.1851,188192.2145,187161.5993
1187,2551,McLean County,county,KY,KY,"Owensboro, KY",21,149,77144.21779,78148.86292,78990.83526,79554.97153,80403.1998,81407.83133,82713.07289,83587.87623,84816.31445,86263.52831,87449.49308,87954.89374,87842.73957,87682.05622,87498.14844,87358.93806,87459.15532,87582.04506,87497.48271,87608.22012,87935.82266,88775.64477,89718.72232,90939.9964,92109.87779,93147.62094,93544.14842,93249.97534,93392.60039,94533.27161,97146.23831,99629.86346,101733.3659,102865.5651,103845.2136,104478.9972,105139.2358,105575.139,106137.2464,106933.3321,106788.0527,106068.1639,104577.2822,104342.1796,105323.0507,107222.6289,110018.357,112558.784,114936.0722,116522.0917,117856.0744,119553.6673,121340.6817,122670.3337,122872.4476,122547.1366,122029.8662,121164.8087,119808.9177,118904.1952,118882.1862,119670.8564,120609.5938,120777.6803,120276.1691,119276.7022,119075.0733,119212.2571,119914.3777,120541.0383,120939.7863,121737.7397
2848,2552,Somervell County,county,TX,TX,,48,425,230561.6961,232147.4846,233965.8143,235270.9454,236520.6986,237344.0019,237449.9105,236989.3162,236901.5637,238057.9438,239349.4172,239997.1017,239818.0311,239322.6193,239305.0137,240046.5166,240925.7288,241669.7502,242202.864,243330.1889,245142.3334,247057.3037,248753.7722,249406.9072,250216.7164,250823.991,251976.3174,252379.9419,253743.7845,256231.0756,260629.2477,265627.4824,270298.7447,275007.4851,279136.4787,283242.2543,286135.3677,289586.4989,294398.6964,300388.2158,306280.0109,310910.84,314449.2319,317542.5027,321347.5161,326054.6903,333223.1629,340884.3948,349044.6868,355388.0677,360562.894,365768.9387,368913.5368,370536.8704,369507.1023,368711.4954,368908.6032,371000.5604,372889.8381,372471.7377,370458.7652,369085.4161,369308.6665,369890.7556,370650.6814,371941.8104,372895.627,373061.1695,372831.6606,372229.9676,372511.2759,373638.0386
3106,2553,Montmorency County,county,MI,MI,,26,119,106183.2554,108987.6584,111378.2234,111737.6916,111342.257,110573.8949,111357.7365,112054.9928,112603.1569,112789.1479,113340.898,114838.4268,117244.2125,119571.3326,120882.7006,121092.9742,120686.7102,119797.0955,118453.0496,117928.5698,117920.9279,117946.5201,117482.719,117866.373,119575.9779,121807.902,123618.3962,124398.2542,124543.4914,124905.1912,127171.2355,130148.7848,132283.712,131675.9568,131353.3328,132734.8465,136298.0053,138929.0258,141431.1478,143668.1994,145929.3836,146352.5941,145162.2483,143675.0918,142975.0121,142557.3605,143739.4027,146401.766,149982.2593,152854.6091,154885.004,156269.7422,156289.0597,155147.8033,154017.849,153433.6097,152302.2499,151216.3289,151208.3913,152115.8906,153394.8935,153779.81,153556.0432,152432.2523,151570.5589,152117.9206,153050.4799,153021.0357,151689.5745,149560.5826,147786.903,146782.7027
